year, grad_count, city
2015,4.252823915,陕西
2015,3.816675377,甘肃
2015,3.30341639,青海
2015,3.411518696,宁夏
2015,3.968805048,新疆
2016,4.279798079,陕西
2016,3.839346671,甘肃
2016,3.35376048,青海
2016,3.44426345,宁夏
2016,3.983662364,新疆
2017,4.331901825,陕西
2017,3.865503129,甘肃
2017,3.391836303,青海
2017,3.505190692,宁夏
2017,4.047660303,新疆
2018,4.37915825,陕西
2018,3.908703184,甘肃
2018,3.439016728,青海
2018,3.545333099,宁夏
2018,4.107528449,新疆
2019,4.411504721,陕西
2019,3.940431809,甘肃
2019,3.468509791,青海
2019,3.573855198,宁夏
2019,4.133446611,新疆
2020,4.418000496,陕西
2020,3.95504762,甘肃
2020,3.477977418,青海
2020,3.593346997,宁夏
2020,4.139802921,新疆